product_id,product_name,aisle_id,department_id,suggested_products,suggested_pro_aisle_id,suggested_prod_dept,suggested_prod_id
18,pizza for one suprema frozen pizza,79,1,"brooklyn pizza dough,pepperoni party pizza,ristorante pizza spinaci thin crust pizza,four cheese pizza frozen sandwiches","[79, 79, 79, 129]","[1, 1, 1, 1]","[322, 743, 356, 735]"
19,gluten free quinoa three cheese mushroom blend,63,9,"gluten free oatmeal variety pack,gluten free blueberry muffin mix,gluten free sugar cookie mix,gluten free sugar cones","[130, 105, 105, 103]","[14, 13, 13, 19]","[216, 235, 847, 903]"
20,pomegranate cranberry aloe vera enrich drink,98,7,"pomegranate coconut sparkling probiotic drink organic,strawberry pomegranate,cucumber witch hazel with aloe vera,peach aloe vera drink","[31, 3, 109, 98]","[7, 19, 11, 7]","[858, 983, 984, 677]"
21,small medium dental dog treats,40,8,"adult dog formula dog food,snack sticks chicken rice recipe dog treats,gourmet dog treats bone,chicken meatballs dog treats","[40, 40, 40, 40]","[8, 8, 8, 8]","[531, 722, 302, 236]"
22,fresh breath oral rinse mild mint,20,11,"mint dental floss,organic shredded mild cheddar,fresh oj,mild salsa divino","[20, 21, 98, 51]","[11, 16, 7, 13]","[291, 781, 628, 107]"
23,organic turkey burgers,49,12,"ground turkey chub,turkey chili,original turkey,turkey","[34, 1, 96, 96]","[1, 20, 20, 20]","[118, 554, 176, 287]"
24,tri vi sol vitamins a c and d supplement drops for infants,47,11,"calcium adult gummy vitamins orange cherry strawberry,fiber g gummy dietary supplement,propolis herbal supplement,tri color tortilla strips","[47, 70, 47, 89]","[11, 11, 11, 13]","[159, 462, 272, 539]"
25,salted caramel lean protein fiber bar,3,19,"chocolate caramel whey protein bar,original sprouted grains protein fiber hot oatmeal,frozen desserts fit salted caramel,salted caramel ice cream","[3, 130, 37, 37]","[19, 14, 1, 1]","[370, 288, 502, 606]"
26,fancy feast trout feast flaked wet cat food,41,8,"chicken brown rice formula cat food,sliced chicken entree cat food,cat food premium adult cat formula,organic four bean feast baby food","[41, 41, 41, 92]","[8, 8, 8, 18]","[597, 442, 848, 744]"
27,complete spring water foaming antibacterial hand wash,127,11,"european style spring mix,antibacterial pomegranate tangerine hand soap with moisturizer,foaming hand soap kid watermelon,ultra concentrated antibacterial hand soap lemon scent dishwashing liquid","[123, 127, 114, 74]","[4, 11, 17, 17]","[66, 689, 224, 662]"
28,wheat chex cereal,121,14,"whole wheat tortillas,cheerios cereal,smorz cereal,cheddar chex mix","[128, 121, 121, 125]","[3, 14, 14, 19]","[58, 365, 90, 955]"
29,fresh cut golden sweet no salt added whole kernel corn,81,15,"zita cut no ,wild albacore tuna no salt added,sardines in water salt added,fresh cut specialties cut golden wax beans","[131, 95, 33, 81]","[9, 15, 6, 15]","[139, 79, 425, 799]"
30,three cheese ziti marinara with meatballs,38,1,"organic spicy heirloom marinara sauce,wild sardines in marinara sauce,cheese creations four cheese cheese sauce,chicken meatballs dog treats","[9, 95, 9, 40]","[9, 15, 9, 8]","[284, 187, 341, 236]"
31,white pearl onions,123,4,"crispy thin crust white pizza,white writing gel,white chicken chili,pearl active duopack tampons","[79, 97, 59, 126]","[1, 13, 15, 11]","[926, 357, 448, 897]"
32,nacho cheese white bean chips,107,19,"bean threads,simply beyond black bean tortilla chips,rice bean snack chips with adzuki beans chipotle cheese,nacho grain free tortilla chips","[66, 107, 107, 100]","[6, 19, 19, 21]","[741, 180, 543, 768]"
33,organic spaghetti style pasta,131,9,"thick zesty spaghetti sauce mix,linguine pasta,linguine no pasta,multigrain spaghetti style pasta","[104, 131, 131, 131]","[13, 9, 9, 9]","[600, 424, 972, 375]"
34,peanut butter cereal,121,14,"peanut butter strawberry jam sandwich,peanut butter chocolate chip bar,peanut butter bars,multigrain peanut butter cereal","[38, 3, 3, 121]","[1, 19, 19, 14]","[100, 883, 985, 637]"
35,italian herb porcini mushrooms chicken sausage,106,12,"herb thyme clamshell,sausage gravy biscuit,organic porcini mushroom risotto,thick cut italian herb blend crispbreads","[16, 52, 4, 78]","[4, 1, 9, 19]","[199, 688, 685, 841]"
36,traditional lasagna with meat sauce savory italian recipes,38,1,"vegetarian grain meat sausages italian ct,graduates lil entrees spiral pasta in turkey meat sauce with green yellow beans,traditional tartar sauce,graduates lil meals spaghetti rings in meat sauce","[14, 92, 100, 92]","[20, 18, 21, 18]","[49, 309, 562, 873]"
37,noodle soup mix with chicken broth,69,15,"unsalted beef broth, rd foods chicken noodle dinner,habanero lime shrimp flavor ramen noodle soup,chunky classic chicken noodle soup","[69, 92, 4, 69]","[15, 18, 9, 15]","[963, 817, 173, 928]"
38,ultra antibacterial dish liquid,100,21,"ibuprofen liquid gels,ultra filtered whole milk,ultra thin pastrami,ultra concentrated antibacterial hand soap lemon scent dishwashing liquid","[133, 84, 96, 74]","[11, 16, 20, 17]","[455, 877, 403, 662]"
39,daily tangerine citrus flavored beverage,64,7,"orange flavored sports drink,mint chocolate flavored syrup,kind prenatal once daily,daily moisture shampoo","[64, 103, 47, 22]","[7, 19, 11, 11]","[815, 16, 91, 498]"
40,beef hot links beef smoked sausage with chile peppers,106,12,"sausage smoked sweet german brand, pure beef homestyle patties,uncured cracked pepper beef,unsalted beef broth","[106, 34, 23, 69]","[12, 1, 19, 15]","[995, 402, 93, 963]"
41,organic sourdough einkorn crackers rosemary,78,19,"water crackers original all natural,supreme pretzel crackers,foldit flatbreads artisan rosemary olive oil,traditional water crackers","[78, 107, 128, 78]","[19, 19, 3, 19]","[363, 615, 660, 145]"
42,biotin mcg,47,11,"restorative biotin conditioner,biotin collagen shampoo,biotin super strength mcg tablets,biotin mcg maximum strength","[22, 22, 47, 47]","[11, 11, 11, 11]","[730, 523, 656, 301]"
43,organic clementines,123,4,"organic red wine olive oil dressing organic,organic lemons,organic mozzarella,organic roasted garlic vinaigrette dressing organic","[89, 24, 21, 89]","[13, 4, 16, 13]","[65, 143, 617, 962]"
44,sparkling raspberry seltzer,115,7,"raspberry fig bars,sparkling blueberry,sparkling lemon seltzer water,sparkling raspberry lemonade water beverage","[3, 77, 115, 115]","[19, 7, 7, 7]","[332, 456, 608, 334]"
45,european cucumber,83,4,"glycerine soap pure and natural cucumber, in soap for every man cucumber lemon,tzatziki cucumber sauce,european style spring mix","[25, 25, 67, 123]","[11, 11, 20, 4]","[320, 152, 198, 66]"
46,raisin cinnamon bagels count,58,1,"cinnamon pop ettes,poppy seed bagels,sliced onion bagels,ceylon cinnamon","[61, 93, 93, 104]","[19, 3, 3, 13]","[733, 245, 836, 725]"
47,onion flavor organic roasted seaweed snack,66,6,"sliced onion bagels,snack bags,organic roasted garlic vinaigrette dressing organic,organic roasted garlic pasta sauce","[93, 87, 89, 9]","[3, 17, 13, 9]","[836, 274, 962, 244]"
48,school glue washable no run,87,17," x cutting board,pico de gallo, bamboo skewers, up","[10, 67, 10, 77]","[17, 20, 17, 7]","[973, 663, 578, 530]"
49,vegetarian grain meat sausages italian ct,14,20,"bread healthy whole grain,whole grain linguine pasta,refried beans vegetarian,traditional lasagna with meat sauce savory italian recipes","[112, 131, 30, 38]","[3, 9, 6, 1]","[101, 418, 766, 36]"
50,pumpkin muffin mix,105,13,"bolani pumpkin filled flatbread,coco joe pumpkin seeds,mix up flamin hot cheezy mix flavored snack mix,gluten free blueberry muffin mix","[13, 117, 107, 105]","[20, 19, 19, 13]","[809, 840, 422, 235]"
51,sa extra hold mousse hair styling,22,11,"extra sharp cheddar cheese,rose apricot hair milk,extra strength berry,medium to firm hold hair styling foam","[21, 22, 64, 22]","[16, 11, 7, 11]","[169, 871, 345, 542]"
52,mirabelle brut rose,134,5,"nutter butter cookie bites go pak,sliced kosher salami,rose apricot hair milk,brut rosé","[61, 96, 22, 134]","[19, 20, 11, 5]","[78, 374, 871, 150]"
53,whole leaf pure aloe with lemon juice,98,7,"pure coconut water with orange,sensitive shave gel with aloe,peach aloe vera drink,grape leaf hummus wrap","[98, 55, 98, 13]","[7, 11, 7, 20]","[7, 949, 677, 109]"
54, performance cat litter,41,8,"sliced chicken entree cat food,cat food premium adult cat formula,cookie dough performance energy,tidy cats in strength cat litter","[41, 41, 3, 41]","[8, 8, 19, 8]","[442, 848, 183, 761]"
55,lasting color shampoo,22,11,"natural food color packets,red food color,advanced haircare color vibrancy nourishing shampoo,shampoo baby shampoo","[17, 97, 22, 102]","[13, 13, 11, 18]","[323, 263, 308, 956]"
56,healthy pop butter popcorn,23,19,"gluten free boom chicka pop sweet spicy popcorn,bread healthy whole grain,classic butter microwave popcorn,butter flavor pan popcorn","[23, 112, 23, 23]","[19, 3, 19, 19]","[726, 101, 764, 771]"
57,flat toothpicks,111,17,"chipotle roasted garlic seasoning,flat floss antiplaque naturally waxed spearmint,injera flat bread,toothpicks","[104, 20, 128, 87]","[13, 11, 3, 17]","[922, 401, 595, 964]"
58,whole wheat tortillas,128,3,"whole wheat spanakopita,fajita flour tortillas,flax oat bran whole wheat flour tortillas, whole wheat flour burrito tortillas","[129, 128, 128, 128]","[1, 3, 3, 3]","[360, 705, 653, 737]"
59,medium taqueria style chipotle salsa,50,19,"hot tomatillo salsa,chipotle roasted garlic seasoning,salsa roja,tomatillo salsa","[51, 104, 51, 51]","[13, 13, 13, 13]","[112, 922, 589, 546]"
60,cheesy creations roasted garlic parmesan sauce,9,9,"organic roasted garlic vinaigrette dressing organic,chipotle roasted garlic seasoning,garlic parmesan pita bread chips,organic roasted garlic pasta sauce","[89, 104, 107, 9]","[13, 13, 19, 9]","[962, 922, 166, 244]"
61,ramen noodles soup chicken mushroom flavor,69,15," fat free cream of chicken soup,traditional chicken tuscany soup,habanero lime shrimp flavor ramen noodle soup,hot spicy chicken flavor ramen noodles","[69, 69, 4, 4]","[15, 15, 9, 9]","[621, 718, 173, 126]"
62,premium deli oven roasted turkey breast,96,20,"original turkey,turkey,premium deli hard salami,smoked ham oven roasted turkey sub sandwich kit","[96, 96, 96, 96]","[20, 20, 20, 20]","[176, 287, 757, 158]"
63,banana sweet potato organic teething wafers,92,18,"protein shake organic banana creme,banana chocolate chip,fingerling potato,garnet sweet potato yam ","[64, 52, 83, 83]","[7, 1, 4, 4]","[911, 602, 882, 581]"
64,autumn vegetable turkey dinner with lil bits purees dinner,92,18," rd foods chicken noodle dinner,spongebob shapes macaroni cheese dinner,blakes chicken parmesan dinner,turkey","[92, 4, 38, 96]","[18, 9, 1, 20]","[817, 592, 81, 287]"
65,organic red wine olive oil dressing organic,89,13,"foldit flatbreads artisan rosemary olive oil,most wanted cabernet sauvignon red wine,organic roasted garlic vinaigrette dressing organic,malbec red wine","[128, 28, 89, 28]","[3, 5, 13, 5]","[660, 479, 962, 567]"
66,european style spring mix,123,4,"complete spring water foaming antibacterial hand wash,cream style corn,mix up flamin hot cheezy mix flavored snack mix,european cucumber","[127, 81, 107, 83]","[11, 15, 19, 4]","[27, 664, 422, 45]"
67,jelly blackberry,88,13,"unsalted beef broth,ultra soft strong double roll bath tissue,super plus cardboard applicator unscented tampons,liquid drink mix blackberry lemonade","[69, 54, 126, 90]","[15, 17, 11, 7]","[963, 915, 411, 385]"
68,pancake mix buttermilk,130,14,"mix up flamin hot cheezy mix flavored snack mix,complete funfetti buttermilk pancake waffle mix,light and fluffy blueberry pancake mix,shake n pour buttermilk pancake mix","[107, 130, 130, 130]","[19, 14, 14, 14]","[422, 745, 565, 994]"
69,vanilla with almond milk iced coffee,26,7,"vanilla almond cashew almondmilk cashewmilk blend,vanilla almond butter squeeze,vanilla almond protein bar,vanilla almond breeze almond milk","[91, 88, 3, 91]","[16, 13, 19, 16]","[208, 820, 406, 432]"
70,sweet cooking rice seasoning,66,6,"wild rice blend,organic rice vinegar,original no stick cooking spray,salt free seasoning","[68, 66, 19, 104]","[10, 6, 13, 13]","[503, 95, 826, 463]"
71,ultra inch polypropylene traditional plates,111,17,"traditional red miso,everyday mega pack paper plates,traditional water crackers,ultra thin pastrami","[66, 111, 78, 96]","[6, 17, 19, 20]","[854, 428, 145, 403]"
72,organic honeycrisp apples,100,21,"organic clementines,organic mozzarella,organic roasted garlic vinaigrette dressing organic,yogurt fruit dip sliced apples","[123, 21, 89, 123]","[4, 16, 13, 4]","[43, 617, 962, 89]"
73,jasmine tea unfiltered ginger ale,77,7,"tea temples green tea with mint,born yesterday pale ale,saucy ginger mandarin dressing,ginger berry kombucha","[94, 27, 89, 31]","[7, 5, 13, 7]","[560, 430, 898, 875]"
74,artisan chick n apple sausage,14,20,"premium apple juice,sausage gravy biscuit,all natural apple juice,artisan ciabatta","[98, 52, 98, 58]","[7, 1, 7, 1]","[935, 688, 82, 155]"
75,hemp protein organic,65,11,"almond honey protein bar,vanilla almond protein bar,protein shake organic banana creme,soap pure castile in hemp lavender","[3, 3, 64, 25]","[19, 19, 7, 11]","[445, 406, 911, 337]"
76,spinach basil garlic linguini,12,9,"basil daly bar soap,authentic deep dish spinach garlic pizza,tomato paste with basil oregano garlic flavor,spinach pesto","[25, 79, 81, 9]","[11, 1, 15, 9]","[333, 250, 534, 813]"
77,coconut chocolate chip energy bar,3,19,"cookie chips crunchy dark chocolate chocolate chip cookies,gluten free all natural chocolate chip cookies,peanut butter chocolate chip bar,banana chocolate chip","[61, 61, 3, 52]","[19, 19, 19, 1]","[559, 172, 883, 602]"
78,nutter butter cookie bites go pak,61,19,"gluten free sugar cookie mix,toll house ultimate chocolate peanut butter deluxe cookie dough,little bites snickerdoodle muffins,cookie sheets","[105, 105, 61, 10]","[13, 13, 19, 17]","[847, 950, 635, 604]"
79,wild albacore tuna no salt added,95,15,"all seasons salt,albacore chunk white tuna in water,fresh cut golden sweet no salt added whole kernel corn,sardines in water salt added","[104, 95, 81, 33]","[13, 15, 15, 6]","[2, 827, 29, 425]"
80,french tarragon wine vinegar,19,13,"french vanilla ice cream,malbec red wine,organic rice vinegar,french rolls","[37, 28, 66, 43]","[1, 5, 6, 3]","[276, 567, 95, 517]"
81,blakes chicken parmesan dinner,38,1,"prime filets chicken tuna dinner in gravy cat food,autumn vegetable turkey dinner with lil bits purees dinner,shaved parmesan cheese, rd foods chicken noodle dinner","[41, 92, 21, 92]","[8, 18, 16, 18]","[293, 64, 226, 817]"
82,all natural apple juice,98,7,"apple green cups,apple sparkling juice beverage,organic pasteurized apple juice,premium apple juice","[111, 98, 98, 98]","[17, 7, 7, 7]","[846, 618, 792, 935]"
83, whole wheat pita bread,128,3,"sunflower bread,whole wheat tortillas,organic thin sliced whole wheat bread,garlic parmesan pita bread chips","[112, 128, 112, 107]","[3, 3, 3, 19]","[346, 58, 566, 166]"
84,lamb shank,7,12,"kind prenatal once daily,foldit flatbreads artisan rosemary olive oil, columbian coffee,lamb rib chops","[47, 128, 26, 122]","[11, 3, 7, 12]","[91, 660, 762, 194]"
85,soppressata piccante,96,20,"tzatziki cucumber sauce,marscapone,nectarines,whole wheat loaves","[67, 108, 24, 112]","[20, 16, 4, 3]","[198, 127, 148, 666]"
86,camilia single liquid doses,6,2,"ultra antibacterial dish liquid,single herbs ginkgo leaf dietary supplement,ibuprofen liquid gels,single classic canned meat","[100, 47, 133, 59]","[21, 11, 11, 15]","[38, 170, 455, 834]"
87,classics earl grey tea,94,7,"brambleberry herbal tea,chai tea bags,classics baby binks easter chocolate bunny,tea temples green tea with mint","[94, 94, 100, 94]","[7, 7, 21, 7]","[237, 281, 417, 560]"
88,probiotics high potency capsules,47,11,"high protein chocolate light milk shake,high fiber tomato basil soup,vitamin d i u vegetable capsules,probiotics women wiser vegetarian capsules","[65, 69, 47, 70]","[11, 15, 11, 11]","[832, 104, 805, 629]"
89,yogurt fruit dip sliced apples,123,4,"coconut yogurt,organic ranch veggie dip,organic honeycrisp apples,tzatziki greek yogurt dip","[120, 67, 100, 67]","[16, 20, 21, 20]","[920, 147, 72, 353]"
90,smorz cereal,121,14,"wheat chex cereal,special k original cereal,peanut butter cereal,cheerios cereal","[121, 121, 121, 121]","[14, 14, 14, 14]","[28, 588, 34, 365]"
91,kind prenatal once daily,47,11,"strong kind roasted jalapeno almond protein bar,geranium daily bar soap,daily moisture shampoo,prenatal one tablets","[3, 25, 22, 47]","[19, 11, 11, 11]","[324, 586, 498, 645]"
92,meat in the middle large rawhide chews,40,8,"graduates lil meals spaghetti rings in meat sauce,traditional lasagna with meat sauce savory italian recipes,vegetarian grain meat sausages italian ct,single classic canned meat","[92, 38, 14, 59]","[18, 1, 20, 15]","[873, 36, 49, 834]"
93,uncured cracked pepper beef,23,19,"beef hot links beef smoked sausage with chile peppers,uncured hard salami,uncured turkey bologna,chicago steak chop cracked pepper garlic blend","[106, 96, 100, 104]","[12, 20, 21, 13]","[40, 611, 110, 860]"
94,organic blueberry blitz fruit veggie smoothie mashups,92,18,"organic fruit punch,organic ranch veggie dip,yokids squeeze organic blueberry blue yogurt,organic blueberry pomegranate whole milk yogurt","[98, 67, 120, 120]","[7, 20, 16, 16]","[646, 147, 895, 584]"
95,organic rice vinegar,66,6,"reg organic apple cider vinegar fl oz,french tarragon wine vinegar,wild rice blend,sherry reserve vinegar","[19, 19, 68, 19]","[13, 13, 10, 13]","[404, 80, 503, 123]"
96,sprinklez confetti fun organic toppings,97,13,"organic mozzarella,organic roasted garlic vinaigrette dressing organic,original bite size candies natural artificial flavors fun size,fun size snacks","[21, 89, 45, 45]","[16, 13, 19, 19]","[617, 962, 409, 623]"
97,organic chamomile lemon tea,94,7,"organic strawberry lemon ade,organic lemon gingersnap,brisk with lemon iced tea,organic smooth move chamomile laxative tea bags","[31, 61, 94, 94]","[7, 19, 7, 7]","[399, 331, 298, 880]"
98, yellow american cheese,2,16,"cheese creations four cheese cheese sauce,yellow cherry tomato,american cheese slices,sliced american cheese","[9, 83, 21, 21]","[9, 4, 16, 16]","[341, 494, 516, 769]"
99,local living butter lettuce,83,4,"organic salted butter,peanut butter bars,peanut butter cereal,living organic cilantro","[36, 3, 121, 16]","[16, 19, 14, 4]","[651, 985, 34, 157]"
100,peanut butter strawberry jam sandwich,38,1,"peanut butter chocolate chip bar,multigrain peanut butter cereal,peanut butter bars,peanut butter cereal","[3, 121, 3, 121]","[19, 14, 19, 14]","[883, 637, 985, 34]"
101,bread healthy whole grain,112,3,"whole grain linguine pasta,oatnut bread,healthy pop butter popcorn,sunflower bread","[131, 112, 23, 112]","[9, 3, 19, 3]","[418, 889, 56, 346]"
102,danish butter cookies,61,19,"ice cream cookies cream,chocolate sandwich cookies,vanilla sugar cookies,creamy danish blue cheese wedge","[37, 61, 61, 21]","[1, 19, 19, 16]","[431, 1, 576, 545]"
103,sprouted kale cracker,78,19,"honey maid graham cracker crumbs,cracker trio selected favorites,vegetable salad kit sweet kale,organic sprouted barley bread","[17, 78, 123, 112]","[13, 19, 4, 3]","[513, 760, 347, 108]"
104,high fiber tomato basil soup,69,15,"organic fiber fruit blend,yellow cherry tomato,tomato paste with basil oregano garlic flavor,spicy tomato basil pasta sauce","[116, 83, 81, 9]","[1, 4, 15, 9]","[767, 494, 534, 640]"
105,easy grab x oblong glass bakeware,10,17,"acti fresh body shape long unscented to go panty liners, up,glass storage container with green silicone protection,glass bottles","[126, 77, 85, 77]","[11, 7, 17, 7]","[182, 530, 265, 839]"
106,organic yummy tummy maple brown sugar instant oatmeal,92,18,"honey nut oatmeal squares,gluten free organic cereal coconut maple vanilla,alcohol free maple flavor,instant mashed potatoes","[121, 130, 104, 4]","[14, 14, 13, 9]","[222, 211, 526, 278]"
107,mild salsa divino,51,13,"hot tomatillo salsa,salsa roja,tomatillo salsa,mild el nino salsa","[51, 51, 51, 67]","[13, 13, 13, 20]","[112, 589, 546, 188]"
108,organic sprouted barley bread,112,3,"oatnut bread,organic thin sliced whole wheat bread,sunflower bread,sprouted kale cracker","[112, 112, 112, 78]","[3, 3, 3, 19]","[889, 566, 346, 103]"
109,grape leaf hummus wrap,13,20,"sparkling blush grape juice,cocktail time hummus,classic original hummus,hummus wrap","[77, 67, 67, 13]","[7, 20, 20, 20]","[167, 687, 544, 453]"
110,uncured turkey bologna,100,21,"turkey chili,original turkey,uncured hard salami,turkey","[1, 96, 96, 96]","[20, 20, 20, 20]","[554, 176, 611, 287]"
111,fabric softener geranium scent,75,17,"unstopables downy unstopables dreams in wash scent booster fabric enhancer oz fabric enhancers,fabric softener dryer sheet free gentle ct fabric enhancers,beach sage liquid fabric softener,mountain stream fabric softener","[75, 75, 75, 75]","[17, 17, 17, 17]","[797, 368, 434, 843]"
112,hot tomatillo salsa,51,13,"mild salsa divino,tapatio salsa picante hot sauce tortilla chips,salsa roja,tomatillo salsa","[51, 107, 51, 51]","[13, 19, 13, 13]","[107, 213, 589, 546]"
113,infant s blend probiotic,70,11,"wild rice blend,organic california blend,pain reliever and fever reducer cherry infant drops,mache blend","[68, 116, 11, 123]","[10, 1, 11, 4]","[503, 634, 759, 389]"
114,light savory beef barley vegetable soup,69,15,"old fashioned vegetable beef soup,organic hearty garden vegetable soup,organic elmo vegetable soup,organic southwestern vegetable soup","[69, 69, 69, 69]","[15, 15, 15, 15]","[466, 626, 684, 644]"
115,scooby doo fruit flavored snacks,50,19,"fun size snacks,teensy fruits baby fruit snacks berry,annie s bunny fruit snacks variety,island fruits fruit snacks","[45, 92, 50, 50]","[19, 18, 19, 19]","[623, 777, 939, 256]"
116,english muffins,93,3,"pomegranate cranberry aloe vera enrich drink, up,little bites snickerdoodle muffins,fudge brownies with english walnuts","[98, 77, 61, 61]","[7, 7, 19, 19]","[20, 530, 635, 622]"
117,petit suisse fruit,2,16,"organic fiber fruit blend,apricot fruit roll,just fruit salad,organic fruit punch","[116, 50, 50, 98]","[1, 19, 19, 7]","[767, 919, 870, 646]"
118,ground turkey chub,34,1,"chub chorizo,chub mackerel,turkey, lean fat ground turkey ","[100, 95, 96, 49]","[21, 15, 20, 12]","[624, 476, 287, 782]"
119,chardonnay paso robles,62,5,"romaine,whole wheat spanakopita, columbian coffee, up","[123, 129, 26, 77]","[4, 1, 7, 7]","[748, 360, 762, 530]"
120,cauliflower florettes,123,4,"freezer safe pint jars wide mouth,xylitol sweetener,whole wheat loaves, up","[85, 17, 112, 77]","[17, 13, 3, 7]","[514, 747, 666, 530]"
121,sharp cheddar,21,16,"cheddar chex mix,cheddar cheese curds,skim milk sharp cheddar cheese singles,extra sharp cheddar cheese","[125, 21, 21, 21]","[19, 16, 16, 16]","[955, 641, 755, 169]"
122,pomegranate molasses,29,13,"organic blueberry pomegranate whole milk yogurt,xxx acai blueberry pomegranate,yogurt strawberry pomegranate,strawberry pomegranate","[120, 64, 120, 3]","[16, 7, 16, 19]","[584, 788, 132, 983]"
123,sherry reserve vinegar,19,13,"malt vinegar sea salt kettle cooked potato chips,reg organic apple cider vinegar fl oz,french tarragon wine vinegar,organic rice vinegar","[107, 19, 19, 66]","[19, 13, 13, 6]","[756, 404, 80, 95]"
124,sun cups dark chocolate,45,19,"almond spread dark chocolate,dark chocolate bar cacao,dark chocolate peanut candy,dark chocolate raisins","[88, 45, 45, 50]","[13, 19, 19, 19]","[451, 749, 901, 435]"
125,herbal armor deet free natural insect repellant,118,11,"propolis herbal supplement,brambleberry herbal tea,for men odor armor body wash,gluten free all natural chocolate chip cookies","[47, 94, 127, 61]","[11, 7, 11, 19]","[272, 237, 296, 172]"
126,hot spicy chicken flavor ramen noodles,4,9,"chow mein thin noodles,medium spicy butter chicken simmer sauce,habanero lime shrimp flavor ramen noodle soup,ramen noodles soup chicken mushroom flavor","[4, 9, 4, 69]","[9, 9, 9, 15]","[450, 191, 173, 61]"
127,marscapone,108,16,"soppressata piccante,tennessee whiskey,whole wheat loaves, up","[96, 124, 112, 77]","[20, 5, 3, 7]","[85, 234, 666, 530]"
128,organic wild blueberries,116,1,"wild chanterelle mushroom ravioli,wild sardines in marinara sauce,creamline yogurt wild blueberry,wild rice blend","[12, 95, 120, 68]","[9, 15, 16, 10]","[165, 187, 339, 503]"
